,Organization.Name,Reference.ID,Solicitation.No.,Notice.Title,Publish.Date,Classification,Notice.Type,Business.Category,Funding.Source,Funding.Instrument,Procurement.Mode,Trade.Agreement,Approved.Budget.of.the.Contract,Area.of.Delivery,Contract.Duration,Calendar.Type,Line.Item.No,Item.Name,Item.Desc,Quantity,UOM,Item.Budget,PreBid.Date,Closing.Date,Notice.Status,Award.No.,Award.Title,Award.Type,UNSPSC.Code,UNSPSC.Description,Awardee.Corporate.Title,Contract.Amount,Contract.No,Publish.Date.Award.,Award.Date,Notice.to.Proceed.Date,Contract.Efectivity.Date,Contract.End.Date,Reason.for.Award,Award.Status
163177,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5787361,Bac18-294 PBDD,Starter Kit (In-Breed Rice Seeds (222)) for Major Crops Based Block Farm Productivity Enhancement,11/9/2018,Goods,Request for Quotation (RFQ),"Agricultural Products (Seeds, Seedlings, Plants..)",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"130,350.00",Albay,15,Day/s,1,In-Breed Rice Seeds,37289,79,Sack,"130,350.00",NULL,11/12/2018,Awarded,2102224,In-Breed Rice Seeds,Award Notice,10150000,Seeds and bulbs and seedlings and cuttings,CAMSUR MULTI-PURPOSE COOPERATIVE,"129,955.00",18-294 PBDD,12/17/2018,11/15/2018,11/15/2018,11/15/2018,12/15/2018,LCRB,Updated
164720,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788417,BAC 18-334 PBDD,"To Hire Two (2) airconditioned Van for Learning Visit to SBFP Sites in Batangas City on November 26-30, 2018",11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Transportation and Communications Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"90,000.00",Albay,5,Day/s,1,Service Vehicle during Learning Visits to SBF site,Service Vehicle,2,Unit,"90,000.00",NULL,11/12/2018,Awarded,2153722,Service Vehicle during Learning Visits to SBF site,Award Notice,78140000,Transport services,LEMON MJM  TRANSPORT SERVICE,"71,998.00",SBF Batangas,1/23/2019,1/23/2019,11/19/2018,11/26/2018,11/30/2018,LCRB,Updated
164800,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788465,BAC 18 478 PBDD,"Food and Accommodtion for the Learning Visit to SBFP Sites in Batangas on November 26-30, 2018",11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"128,000.00",Batangas,4,Day/s,1,Learning Infusion to Succesful Sites in Batangas,Food and Accommodation,1,Package,"128,000.00",NULL,11/12/2018,Awarded,2102974,Learning Infusion to Succesful Sites in Batangas,Award Notice,90110000,Hotels and lodging and meeting facilities,"REAL DEVELOPMENT CO., INC.","128,000.00",18-478 PBDD,12/17/2018,11/23/2018,11/23/2018,11/26/2018,11/30/2018,SCRB,Updated
164910,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788541,BAC 18-480 PBDD,Food and Accommodation for SBF Project Evaluation Assessment,11/9/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"96,000.00",Albay,2,Day/s,1,SBF Project Evaluation Assessment,Food and Accommodation,30,Piece,"96,000.00",NULL,11/12/2018,Awarded,2183111,SBF Project Evaluation Assessment,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,"CASA BASILISA, INC.","91,200.00",5788541,2/8/2019,2/8/2019,12/18/2018,12/18/2018,12/19/2018,LCRB,Updated
165012,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788670,BAC 18-322 PBDD,Muscovado processing Equipment for GALUDA under SBF project,11/9/2018,Goods,Request for Quotation (RFQ),Agricultural Machinery and Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"784,000.00",Albay,15,Day/s,1,GALUDA Muscovado Equipment,Processing Equpment,1,Package,"784,000.00",NULL,11/12/2018,Awarded,2102404,GALUDA Muscovado Equipment,Award Notice,23000000,Industrial Manufacturing and Processing Machinery and Accessories,ARIM'S MUSCOVADO MILLING FACILITY,"784,000.00",18-332 PBDD,12/17/2018,12/11/2018,12/11/2018,12/11/2018,1/11/2019,SCRB,Updated
165086,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5788753,"BAC 18-308 Opnd, PARAD",Office Supplies for Operation and Adjudication Division,11/9/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"87,173.88",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/12/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235843,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5840903,BAC 18-474 Legal,Joint Legal and PARAD Year End Performance Evaluation and 2019 Strategic Planning,11/23/2018,Goods - General Support Services,Request for Quotation (RFQ),Hotel and Lodging and Meeting Facilities,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"120,000.00",Albay,3,Day/s,1,joint Legal and PARAD year end performance evaluat,Food and Accommodation,1,Package,"120,000.00",NULL,11/26/2018,Awarded,2140626,joint Legal and PARAD year end performance evaluat,Award Notice,90110000,Hotels and lodging and meeting facilities,HOTEL ST. ELLIS,"91,250.00",18-474-PARAD,1/16/2019,12/13/2018,12/13/2018,12/17/2018,12/19/2018,LCRB,Updated
235879,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5840943,BAC 18-346 PARAD,Laptop and Printers for PARAD,11/23/2018,Goods,Request for Quotation (RFQ),Office Equipment,Government of the Philippines (GOP),General Appropriations Act,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Implementing Rules and Regulations,"146,999.94",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/26/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235935,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5840997,BAC 18-347 PBDD,Materials for the Enhancement of IWA Display Center under VLFED,11/23/2018,Goods,Request for Quotation (RFQ),Construction Materials and Supplies,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"281,987.75",Albay,15,Day/s,1,IWA Display Center,Materials for Enhancement,1,Package,"281,987.75",NULL,11/26/2018,Awarded,2102330,IWA Display Center,Award Notice,30000000,Structures and Building and Construction and Manufacturing Components and Supplies,TABACO SANTIAGO TRADING INCORPORATED,"271,772.50",18-347 PBDD,12/17/2018,11/28/2018,11/28/2018,11/28/2018,12/28/2018,LCRB,Updated
255647,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5855049,ITB 2019-01,Services of three (3) Security Guards at DAR-Albay Provincial Office for Year,11/28/2018,Goods - General Support Services,Invitation to Bid (ITB),Security Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"520,000.00",Albay,1,Year/s,1,Security Service,Security Guards,3,Piece,"520,000.00",12/5/2018,12/18/2018,Awarded,2189571,Security Service,Award Notice,83000000,Public Utilities and Public Sector Related Services,JERICHO SECURITY & INVESTIGATION SERVICES,"512,548.68",5855049,2/14/2019,2/14/2019,1/21/2019,1/21/2019,2/28/2019,LCRB,Updated
255703,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5855107,ITB 2019-02,Services of two (2) Janitors at DAR-Albay Provincial Office for year 2019 ( inclusive of Janitorial Supplies),11/28/2018,Goods,Invitation to Bid (ITB),Janitorial Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"316,000.00",Albay,1,Year/s,1,Janitorial Services,Janitor,2,Piece,"316,000.00",12/5/2018,12/18/2018,Awarded,2189607,Janitorial Services,Award Notice,83000000,Public Utilities and Public Sector Related Services,A &AMP; B MULTI SERV CORP.,"315,983.75",5855107,2/14/2019,2/14/2019,1/18/2019,1/18/2019,2/18/2019,LCRB,Updated
256416,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5855800,ITB 2019-3,"Catering Services at DAR-Albay Provincial Office for the Period of January 7, 2019 to June 30, 2019",11/28/2018,Goods - General Support Services,Invitation to Bid (ITB),Catering Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,160,800.00",Albay,6,Month/s,1,catering services 1st sem 2019,"period of Jan.7 to June 30, 2019",1,Package,"1,160,800.00",12/5/2018,12/18/2018,Awarded,2141050,catering services 1st sem 2019,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,BICOL FOOD DELIGHTS CATERING SERVICES,"1,098,000.00",Catering 2019 1st sem.,1/16/2019,1/4/2019,1/9/2019,1/7/2019,6/30/2019,LCRB,Updated
280757,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5873196,SURVEY 2019,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CERTIFICATES OF LANDOWNERSHIP AWARD (CLOAs) and NEW LANDS,12/4/2018,Consulting Services,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,12/14/2018,12/17/2018,Failed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281853,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5874195,BAC-18-354b,OFFICE SUPPLIES,12/4/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping,Implementing Rules and Regulations,"236,533.43",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/13/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282174,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5874530,BAC-18-354A,OFFICE SUPPLIES,12/4/2018,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Shopping,Implementing Rules and Regulations,"235,101.02",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/13/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282218,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5874578,BAC-18-353-legal,OFFICE FIXTURES,12/4/2018,Goods,Request for Quotation (RFQ),Fixtures,Government of the Philippines (GOP),General Appropriations Act,Shopping,Implementing Rules and Regulations,"52,999.00",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/14/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282303,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5874666,BAC-18-351-opns,OFFICE STEEL FILING CABINETS & SHELVES,12/4/2018,Goods,Request for Quotation (RFQ),Office Equipment,Government of the Philippines (GOP),General Appropriations Act,Shopping,Implementing Rules and Regulations,"191,000.00",Albay,15,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/14/2018,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333530,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,1,Lot 1-AL-2019 (NL),Libon & Ligao,104,Hectare,"484,745.40",12/19/2018,12/21/2018,Awarded,2385271,Lot 1-AL-2019 (NL),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"484,700.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single Bidder,Updated
333531,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,2,Lot 2-AL-2019 (NL),"Bacacay, Legazpi, Tabaco, Pioduran",100,Hectare,"467,037.00",12/19/2018,12/21/2018,Awarded,2385273,Lot 2-AL-2019 (NL),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"467,000.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single Bidder,Updated
333532,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,3,Lot 3-AL-2019 (NL),Guinobatan,103,Hectare,"479,433.60",12/19/2018,12/21/2018,Awarded,2385274,Lot 3-AL-2019 (NL),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"479,400.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single Bidder,Updated
333533,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,4,Lot 4-AL-2019 ( CC),Legazpi City,111,Hectare,"469,393.20",12/19/2018,12/21/2018,Awarded,2385275,Lot 4-AL-2019 ( CC),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"469,390.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single bidder,Updated
333534,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,5,Lot 5-AL-2019 (CC),"Ligao, Jovellar, Daraga, Malinao, Legazpi",74,Hectare,"318,544.20",12/19/2018,12/21/2018,Awarded,2385276,Lot 5-AL-2019 (CC),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"318,500.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single Bidder,Updated
333535,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,5911237,SURVEY 2019-2nd posting,SUBDIVISION SURVEY OF MODULES FOR COLLECTIVE CLOAs AND NEW LANDS IN 12 MUNICIPALITIES OF ALBAY -2ND POSTING,12/14/2018,Civil Works,Request for Expression of Interest,Surveying Services,Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"2,562,845.40",Albay,90,Day/s,6,Lot 6-AL-2019 (NL),"Guinobatan, Camalig, Oas",74,Hectare,"343,692.00",12/19/2018,12/21/2018,Awarded,2385277,Lot 6-AL-2019 (NL),Award Notice,95101900,Agricultural land,PETER M. OTANA JR. SURVEYING OFFICE,"343,690.00",PIN2019-108,8/9/2019,5/10/2019,6/21/2019,6/21/2019,12/31/2019,Single Bidder,Updated
182198,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6070755,BAC 19-019,Strategic Formulation Training Workshop on case Resolution and Investigation Status Conference for PARAD and Legal Sector,3/6/2019,Goods,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Others,Corporate Budget for the Contract Approved by the Board,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Others,"116,000.00",Albay,30,Day/s,1,Strategic Formulation Training & Workshop,Food and Accommodation,29,Piece,"116,000.00",NULL,3/13/2019,Awarded,2251063,Strategic Formulation Training & Workshop,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,RECIDENCIA DEL HAMOR CORPORATION,"116,000.00",6070755,4/8/2019,4/8/2019,4/8/2019,4/8/2019,4/30/2019,LCRB,Updated
187936,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6074876,BAC 19-020,"Printer, Desktop System Unit and Computer monitor 21",3/7/2019,Goods,Request for Quotation (RFQ),Office Equipment,Others,Corporate Budget for the Contract Approved by the Board,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Others,"52,698.00",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/14/2019,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193036,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6078690,BAC 19-057,"Meals and Accomodation in Tiwi, Albay on March 21-22, 2019",3/8/2019,Goods,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Others,Corporate Budget for the Contract Approved by the Board,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Others,"72,600.00",Albay,30,Day/s,1,VLFED TEch. Assessment,Food and Accommodation,33,Piece,"72,600.00",NULL,3/15/2019,Awarded,2250657,VLFED TEch. Assessment,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,DON BITOY RESORT & CATERING SERVICES,"56,100.00",NULL,4/8/2019,4/8/2019,NULL,NULL,NULL,LCRB,Posted
193077,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6078724,BAC 19-059,"Meals and Accomodation in Legazpi City on March 26-27, 2019",3/8/2019,Goods,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Others,Corporate Budget for the Contract Approved by the Board,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Others,"72,600.00",Albay,30,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/15/2019,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
223607,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6100577,BAC 19-032,Services Van Regions I & IV,3/19/2019,Goods - General Support Services,Request for Quotation (RFQ),Transportation and Communications Services,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"270,000.00",Albay,3,Day/s,1,VAN,SERVICES,3,Unit,"270,000.00",NULL,3/22/2019,Awarded,2313816,VAN,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,TRAVIZIA TOURS AND TRAVEL,"148,500.00",CF19-030015,6/10/2019,6/10/2019,6/10/2019,6/10/2019,7/10/2019,LCRB,Updated
223651,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6100602,BAC 19-076,"Food & Accommodation on Apr. 9-10, 2019",3/19/2019,Goods - General Support Services,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"53,200.00",Benguet,3,Day/s,1,Learning Expedition and Knowledge Sharing,Food and Accommodation,28,Piece,"53,200.00",NULL,3/22/2019,Awarded,2313757,Learning Expedition and Knowledge Sharing,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,VIVE INC. DOING BUSINESS UNDER THE NAME/S AND STYLE/S OF VENUS PARKVIEW HOTEL,"44,800.00",CF19-03-0018,6/10/2019,6/10/2019,6/10/2019,6/10/2019,7/10/2019,Single Bidder,Updated
223665,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6100619,BAC 19-077,"Food & Accommodation on Apr. 10-12, 2019",3/19/2019,Goods - General Support Services,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"107,100.00",Ilocos Sur,3,Day/s,1,Learning Expedition and Knowledge Sharing,Food and Accomodation in Vigan,28,Piece,"107,100.00",NULL,3/22/2019,Awarded,2313908,Learning Expedition and Knowledge Sharing,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,MEL-SOL'S INN & RESORT,"94,080.00",CF 19-03-0019,6/10/2019,6/10/2019,6/10/2019,6/10/2019,7/10/2019,LCRB,Updated
223679,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6100635,BAC 19-078,"Food & Accommodation on Apr. 8-9, 2019",3/19/2019,Goods - General Support Services,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"63,700.00",Metro Manila,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/22/2019,Cancelled,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240634,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6113362,BAC 19-0145,Laptop and Printers for PARAD 2019,3/23/2019,Goods,Request for Quotation (RFQ),Office Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"173,994.00",Albay,3,Day/s,1,Computer Supplies and Equipment,Laptop & WiFi,6,Piece,"173,994.00",NULL,3/26/2019,Awarded,2313497,Computer Supplies and Equipment,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,"DENVER'S COMPUTER SHOPPE, INC","173,154.00",CF19-03-028-029,6/10/2019,6/10/2019,6/10/2019,6/10/2019,7/10/2019,LCRB,Updated
240652,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6113390,BAC 19=040,Steel Cabinet (4Drawers),3/23/2019,Goods,Request for Quotation (RFQ),Office Equipment,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"250,000.00",Albay,3,Day/s,1,Office Supplies,Steel filing Cabinet,25,Piece,"250,000.00",NULL,3/26/2019,Awarded,2250996,Office Supplies,Award Notice,44000000,Office Equipment and Accessories and Supplies,SL RUIZ FURNITURE,"199,875.00",6113390,4/8/2019,4/8/2019,4/8/2019,4/8/2019,4/30/2019,LCRB,Updated
247340,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6117988,BAC 19-046,OFFICE SUPPLIES for LTID,3/26/2019,Goods,Request for Quotation (RFQ),Office Supplies and Devices,Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"127,390.14",Albay,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3/29/2019,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87231,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6188140,BAC 19-0171,1st Quarter Assessment Cum Strategic Planning Workshop for LTSP,5/12/2019,Goods,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"137,800.00",Albay,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5/15/2019,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109479,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6204454,Catering Services (2nd Sem 2019),"Catering Services at DAR-Albay Provincial Office for the Period of July 1, 2019 to December 31, 2019",5/22/2019,Goods,Invitation to Bid (ITB),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Public Bidding,Implementing Rules and Regulations,"1,585,000.00",Albay,3,Day/s,NULL,NULL,NULL,NULL,NULL,NULL,5/28/2019,6/4/2019,Closed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161267,DEPARTMENT OF AGRARIAN REFORM - ALBAY PROVINCIAL OFFICE,6242542,BAC 19-0267,"1st Quarter Assessment of PBDD on June 27-28, 2019",6/11/2019,Goods,Request for Quotation (RFQ),"Travel, Food, Lodging and Entertainment Services",Government of the Philippines (GOP),General Appropriations Act,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Implementing Rules and Regulations,"86,400.00",Albay,3,Day/s,1,1st Quarter Assessment,Food and Accommodation,53,Piece,"86,400.00",NULL,6/14/2019,Awarded,2378879,1st Quarter Assessment,Award Notice,90000000,Travel and Food and Lodging and Entertainment Services,"CASA BASILISA, INC.","77,220.00",BAC 19-0267,8/5/2019,8/5/2019,6/27/2019,6/27/2019,6/28/2019,LCRB,Updated
